0.875	2.29415E-05
0.925	3.09814E-05
0.975	4.51755E-05
1.025	6.15112E-05
1.075	6.68351E-05
1.125	0.000080139
1.175	9.23583E-05
1.225	9.76754E-05
1.275	9.92607E-05
1.325	0.000101859
1.375	9.99527E-05
1.425	0.000100431
1.475	0.00010009
1.525	9.96012E-05
1.575	9.66667E-05
1.625	9.30838E-05
1.675	9.06498E-05
1.725	8.71791E-05
1.775	0.000082932
1.825	8.00376E-05
1.875	7.74589E-05
1.925	7.36581E-05
1.975	7.13992E-05
2.025	6.93999E-05
2.075	6.88636E-05
2.125	6.87291E-05
2.175	6.66661E-05
2.225	5.94469E-05
2.275	5.23123E-05
2.325	4.48821E-05
2.375	3.86251E-05
2.425	3.34566E-05
2.475	2.80755E-05
2.525	2.39261E-05
2.575	1.94495E-05
2.625	1.57298E-05
2.675	1.30034E-05
2.725	0.000010642
