0.425	0.000481597	0.5
0.475	0.000637815	0.5
0.525	0.000862085	0.5
0.575	0.000975034	0.5
0.625	0.00113424	0.5
0.675	0.00124195	0.5
0.725	0.00126636	0.5
0.775	0.00128249	0.5
0.825	0.00124766	0.5
0.875	0.00122441	0.5
0.925	0.001189	0.5
0.975	0.00111994	0.5
1.025	0.00105326	0.5
1.075	0.000983852	0.5
1.125	0.000903046	0.5
1.175	0.000842235	0.5
1.225	0.000769216	0.5
1.275	0.000713216	0.5
1.325	0.00064483	0.5
1.375	0.00060383	0.5
1.425	0.000542162	0.5
1.475	0.000487068	0.5
1.525	0.000439313	0.5
1.575	0.000394208	0.5
1.625	0.000346892	0.5
1.675	0.000309392	0.5
1.725	0.000259852	0.5
1.775	0.000217377	0.5
1.825	0.000187038	0.5
